image,curve_length,chord_length,sd_theta,num_inflection_pts,num_critical_points,curvature,VTI,distance_tort

hImage_01L_1stHO_0.png,190.41053894648812,173.2887763243771,0.17932393456361587,49,18,0.09268044103260639,3.5937987857340805,1.0988047984715468

hImage_01L_1stHO_1.png,250.88225099390888,231.03462943896528,0.1811583574685091,86,38,0.12870172999024093,7.559265019596581,1.0859075611441484

hImage_01L_1stHO_10.png,88.6274169979695,83.54639429682169,0.17833255034566745,26,1,0.10861848196118877,0.1927639112660229,1.0608167802322632

hImage_01L_1stHO_11.png,713.176974922926,255.66579747787932,0.1795075896795095,91,1,0.08901713237635946,0.9019417905119617,2.7894891767234973

hImage_01L_1stHO_13.png,88.6274169979695,83.54639429682169,0.10588235294117647,32,1,0.1336842854906938,0.11530920325106485,1.0608167802322632

hImage_01L_1stHO_14.png,162.99061964464119,103.77379245262264,0.2748041094661094,54,6,0.1508630852896575,2.896272987503263,1.5706337389476601

hImage_01L_1stHO_15.png,731.5907109732482,154.8709139896837,0.18941219766556658,42,1,0.06822263435177729,2.9271133313646214,4.723874174475274

hImage_01L_1stHO_16.png,975.3338988638603,89.96110270555825,0.2103115943138302,42,1,0.07315219758895178,15.971841249093009,10.841729031002632

hImage_01L_1stHO_17.png,507.78334114213953,138.51353724455961,0.2794306503692747,45,1,0.08728246428275675,2.775624213082562,3.6659473957812287

hImage_01L_1stHO_18.png,309.17114095916355,55.154328932550705,0.21801323098285963,35,5,0.12204171162137913,14.797802622454554,5.60556436716427

hImage_01L_1stHO_19.png,2570.1057462028616,184.61040057374882,0.21706818920915835,53,1,0.04860920834191993,14.366261401636299,13.921781970112495

hImage_01L_1stHO_2.png,110.84062043356589,102.7861858422619,0.20926889752235214,54,39,0.1883811419897856,8.954478999335413,1.0783610611222068

hImage_01L_1stHO_20.png,248.4216904919235,58.249463516842795,0.25501160277174945,14,1,0.03287054698906629,4.876042294808384,4.264789330121341

hImage_01L_1stHO_22.png,1950.2089675295183,334.463749904231,0.19221399326800748,116,1,0.0979889887847832,7.618501044374203,5.830853023946341

hImage_01L_1stHO_23.png,332.9176253612412,241.8780684559888,0.24653210454034846,104,22,0.12552080247910735,7.8327768061980425,1.3763861580605339

hImage_01L_1stHO_25.png,218.45188223685398,133.6899397860587,0.2801627771274283,82,23,0.1921409082190343,11.648001747557544,1.6340188542715937

hImage_01L_1stHO_26.png,104.95331880577395,98.47842403288143,0.06066758241067099,42,1,0.1733208609906022,0.06524731646062522,1.065749374408455

hImage_01L_1stHO_27.png,110.62374238208426,77.00649323271382,0.202095545919459,38,3,0.14166468683676803,0.8896238594224255,1.4365508379634822

hImage_01L_1stHO_28.png,136.56645430297206,107.0420478129973,0.2546886603131452,44,1,0.15055093835883934,0.35750798647930243,1.2758206433191

hImage_01L_1stHO_29.png,973.0943910722295,189.87364219396014,0.1618624497048183,92,1,0.1397467871508168,3.3762994665185584,5.124957734145069

hImage_01L_1stHO_3.png,275.3676783118936,145.49914089093448,0.13942487706849285,96,1,0.17164681601192275,0.3204284539682329,1.8925725377190235

hImage_01L_1stHO_30.png,1348.0671367567109,65.19202405202648,0.35724640818672604,62,3,0.17535123711610826,46.26374026730816,20.67840593016235

hImage_01L_1stHO_31.png,165.04163056034264,158.38244852255568,0.13575617416495805,32,25,0.07215558678182303,3.545542869770005,1.0420449494240431

hImage_01L_1stHO_32.png,7139.068594744703,93.60555539069249,0.3186299813798329,116,7,0.07279560513124686,1970.1808271067002,76.26757370273094

hImage_01L_1stHO_33.png,516.9094777445375,117.64352935882194,0.16968060734309387,52,1,0.13370445708812365,3.55988869121252,4.393862378677227

hImage_01L_1stHO_34.png,125.42545476077353,100.0199980003999,0.22911463188810374,43,26,0.1515530671092265,7.531838507237847,1.2540037719284105

hImage_01L_1stHO_35.png,189.37241339497854,93.15041599477696,0.19662965590614864,31,6,0.14993377312731318,5.02381687291661,2.0329744249944826

hImage_01L_1stHO_36.png,122.50966799187798,113.85077953180645,0.1414213562373095,30,2,0.10872028552364424,0.3107300247567307,1.0760547138603693

hImage_01L_1stHO_37.png,132.92388155425107,121.16517651536682,0.17564056870495498,46,16,0.14824632373164437,3.1171759599556457,1.097046902229313

hImage_01L_1stHO_4.png,894.5177507496455,72.34638899074369,0.35898453024358623,32,1,0.05992429770303477,23.492052201945743,12.364373166767093

hImage_01L_1stHO_5.png,135.47578489674953,91.2414379544733,0.27147131697415067,52,29,0.1889064881269804,13.31048265310878,1.484805456094936

hImage_01L_1stHO_6.png,106.0243866176394,99.80981915623332,0.11139099986465036,34,4,0.13985712499686664,0.47767739347110255,1.062264088983854

hImage_01L_1stHO_7.png,114.19595949289322,105.0,0.21213203435596426,50,19,0.1879935264712881,4.412080797571797,1.087580566598983

hImage_01L_1stHO_8.png,518.7323142913299,214.0864311440592,0.10325038417354766,127,1,0.14855576083625432,0.3348189465330257,2.4230041648098375

hImage_01L_1stHO_9.png,93.254833995939,86.16263691415206,0.2204540768504861,54,32,0.23130342750644556,7.692587010050182,1.0823117459700453

hImage_01R_1stHO_0.png,132.46313082170118,110.0,0.23926476731829896,47,25,0.13836847893831866,7.289647756713761,1.2042102801972836

hImage_01R_1stHO_1.png,483.0302734106824,78.10249675906654,0.35249801922932184,44,2,0.10787322045594337,8.637379171810476,6.184568912063746

hImage_01R_1stHO_10.png,104.78174593052013,96.87620966986684,0.1819552114173641,43,24,0.18163346421270843,4.81291954208968,1.081604516605198

hImage_01R_1stHO_11.png,105.63961030678921,97.94896630388705,0.22486619088914636,48,6,0.18886791496650343,1.4791730756025014,1.0785168470184965

